TIME;ID;LINK;POSITION;DISTANCE;STATE;VEHICLE
06:30:00.00;U_M881;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:30:00.00;U_B196;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:31:00.00;U_M503;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:31:00.00;U_M1356;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:31:00.00;U_B271;ORIGIN_0 TRAM_SO;0.000 0.000;0.000;WALKING;
06:31:00.00;U_M1354;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:32:00.00;U_B48;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:32:00.00;U_M621;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:32:00.00;U_M716;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:33:00.00;U_B270;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:33:00.00;U_M240;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:33:00.00;U_B315;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:33:31.27;U_M881;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:33:31.27;U_B196;ORIGIN_0 BUSA_SO;300.000 0.000;300.000;WALKING;
06:34:00.00;U_M1238;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_M561;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_B178;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_M8;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_M727;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_M169;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_M31;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_B213;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:34:00.00;U_B403;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:34:31.27;U_M503;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:34:31.27;U_M1356;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:34:31.27;U_B271;ORIGIN_0 TRAM_SO;300.000 0.000;300.000;WALKING;
06:34:31.27;U_M1354;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:35:00.00;U_M215;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:35:00.00;U_M190;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:35:00.00;U_M1278;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:35:00.00;U_B502;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:35:00.00;U_M1099;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:35:00.00;U_M404;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:35:31.27;U_B48;ORIGIN_0 BUSA_SO;300.000 0.000;300.000;WALKING;
06:35:31.27;U_B48;BUSA_SO TRAM_SO;300.000 0.000;300.000;WALKING;
06:35:31.27;U_M621;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:35:31.27;U_M716;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:36:00.00;U_M881;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;5
06:36:00.00;U_M503;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;5
06:36:00.00;U_M1356;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;5
06:36:00.00;U_M1354;METRO_SO METRO_S2;960.000 0.000;960.000;INSIDE_VEHICLE;5
06:36:00.00;U_B157;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:36:00.00;U_B364;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:36:00.00;U_M164;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:36:00.00;U_B60;ORIGIN_0 BUSA_SO;0.000 0.000;0.000;WALKING;
06:36:00.00;U_M1143;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:36:00.00;U_M653;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
